hotelName,hotelInformationUrl,hotelMinCharge,latitude,longitude,postalCode,address1,address2,telephoneNo,parkingInformation,nearestStation
東急ステイ沖縄那覇（２０２０年２月１９日グランドオープン）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177761,2775,94334.89,459646.33,900-0025,沖縄県,那覇市壷川3-2-1,098-833-1090,屋内契約駐車場30台 1500円 入出庫可 屋内提携駐車場123台 1200円 1回出庫毎に料金発生,
ノボテル沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167519,3266,94374.6,459750.57,902-0062,沖縄県,那覇市松川40番地,098-887-1111,"有り（1泊1台1,000円）　※事前予約不可",
沖縄ハーバービューホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176757,3375,94336.98,459657.29,900-0021,沖縄県,那覇市泉崎2-46,098-853-2111,有り　１９０台　１８００円（税込み／泊）　先着順,那覇空港
ハイアットリージェンシー那覇沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=148000,6833,94357.69,459690.88,900-0013,沖縄県,那覇市牧志3-6-20,098-866-8888,有り　１１３台　１５００円（税込み／泊）,
ダイワロイネットホテル那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=128440,2950,94369.8,459703.77,902-0067,沖縄県,那覇市安里2-1-1,098-868-9055,"先着順で提携駐車場へのご案内となります（1泊1,000円）",
ホテルパームロイヤルNAHA国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=38282,3483,94365.08,459689.04,900-0013,沖縄県,那覇市牧志3-9-10,098-865-5551,【有り：60台】1泊1100円（税込）満車の場合は近隣のコインパーキングをご利用下さい。※先着順,那覇空港
ロワジールホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16443,2000,94355.14,459603.97,900-0036,沖縄県,那覇市西3-2-1,098-868-2222,"1泊1台1,800円",那覇空港
ホテル　ロコア　ナハ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=71990,3200,94354.63,459657.87,900-0014,沖縄県,那覇市松尾1-1-2,098-868-6578,提携駐車場１泊1台１5００円。営業時間外の入出庫不可。先着順。,
ＪＲ九州ホテル　ブラッサム那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160939,4700,94367.2,459682.25,900-0013,沖縄県,那覇市牧志2丁目16番１号,098-861-8700,有り　１１２台　１５００円（税込み／泊）　予約不可,那覇空港
ネストホテル那覇久茂地（２０２１年４月１日オープン）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182439,1947,94375.76,459662.46,900-0015,沖縄県,那覇市久茂地2-22-5,098-975-7385,有り　40台　1000円/1日　予約不要,那覇空港
